,BEGIN_TIME,EVENT_ID,END_TIME,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE,END_DATE,AFFECTED,DAMAGE,LABEL
3485,1645.0,185382.0,1845.0,Flash Flood,34.35,-89.03,34.3565,-89.0311,06/2009/12,06/2009/12,0,0.0,1
3486,2200.0,181145.0,30.0,Flash Flood,41.1314,-73.7968,41.1249,-73.778,06/2009/18,06/2009/19,0,0.0,1
3487,830.0,179255.0,1300.0,Flash Flood,42.1535,-88.2443,42.1524,-87.7258,06/2009/19,06/2009/19,0,500000.0,1
3488,1300.0,185489.0,2000.0,Flood,42.0091,-88.2632,42.0091,-88.2152,06/2009/19,06/2009/20,0,0.0,1
3489,1655.0,185352.0,2100.0,Flash Flood,39.1044,-88.3301,39.0621,-88.3133,06/2009/21,06/2009/21,0,0.0,1
3490,1800.0,184659.0,1845.0,Flash Flood,44.996,-101.2423,44.9964,-101.2213,06/2009/15,06/2009/15,0,0.0,1
3491,1700.0,183790.0,2000.0,Flash Flood,36.8188,-84.2022,36.8145,-84.2022,06/2009/17,06/2009/17,0,0.0,1
3492,1700.0,183791.0,2000.0,Flash Flood,36.797,-84.1585,36.7821,-84.1415,06/2009/17,06/2009/17,0,0.0,1
3493,549.0,185501.0,730.0,Flood,41.6957,-87.7888,41.6768,-87.7789,06/2009/19,06/2009/19,0,0.0,1
3494,1630.0,177975.0,1730.0,Flash Flood,35.1664,-89.8689,35.1856,-89.8325,06/2009/12,06/2009/12,0,0.0,1
3495,1900.0,168013.0,2300.0,Flash Flood,47.3742,-100.0333,47.3853,-99.7064,06/2009/15,06/2009/15,0,50000.0,1
3496,1200.0,181570.0,1400.0,Flash Flood,37.2883,-82.5884,37.2808,-82.6002,06/2009/17,06/2009/17,0,0.0,1
3497,1045.0,181574.0,1400.0,Flash Flood,37.2186,-82.6804,37.2075,-82.6796,06/2009/17,06/2009/17,0,50000.0,1
3498,1115.0,181575.0,1315.0,Flash Flood,37.2227,-82.7408,37.177,-82.7398,06/2009/17,06/2009/17,0,0.0,1
3499,1145.0,181577.0,1345.0,Flash Flood,37.1959,-82.721,37.1834,-82.7224,06/2009/17,06/2009/17,0,0.0,1
3500,1100.0,181589.0,1410.0,Flash Flood,37.2034,-82.7207,37.1823,-82.7238,06/2009/17,06/2009/17,0,0.0,1
3501,1500.0,183781.0,1900.0,Flash Flood,36.6391,-83.7887,36.6133,-83.7584,06/2009/17,06/2009/17,0,0.0,1
3502,1520.0,181210.0,1535.0,Flash Flood,40.8873,-74.2325,40.8845,-74.2336,06/2009/30,06/2009/30,0,0.0,1
3503,1900.0,168010.0,2300.0,Flash Flood,47.1038,-100.8875,47.2065,-100.1074,06/2009/15,06/2009/15,0,1000000.0,1
3504,1900.0,168014.0,2300.0,Flash Flood,46.8874,-100.9026,46.8865,-100.9259,06/2009/15,06/2009/15,0,1800000.0,1
3505,1041.0,179008.0,1300.0,Flash Flood,42.0674,-88.2649,41.9421,-88.2649,06/2009/19,06/2009/19,0,0.0,1
3506,2150.0,183080.0,0.0,Flash Flood,31.1591,-99.32600000000001,31.115,-99.3233,06/2009/12,06/2009/13,0,0.0,1
3507,2000.0,183078.0,2130.0,Flash Flood,31.7349,-98.9982,31.7337,-98.9765,06/2009/2,06/2009/2,0,0.0,1
3508,2000.0,183079.0,2130.0,Flash Flood,31.7502,-98.94200000000001,31.7415,-98.9353,06/2009/2,06/2009/2,0,0.0,1
3509,2023.0,182807.0,2230.0,Flash Flood,32.931,-99.9565,32.9349,-99.9567,06/2009/8,06/2009/8,0,0.0,1
3510,1552.0,182810.0,1745.0,Flash Flood,33.17,-99.78,33.1439,-99.7772,06/2009/10,06/2009/10,0,0.0,1
3511,715.0,184947.0,1015.0,Flash Flood,35.23,-89.52,35.2319,-89.5121,06/2009/14,06/2009/14,0,300000.0,1
