,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1,LABEL,DAMS
177,177,177,208673,64,0,8,33.76,-88.11,12/2009/8,3.5,36.7,1,38.71273909
178,178,178,201980,10,0,8,34.9434,-92.0991,12/2009/24,37.1,144.2,1,28.09156182
179,179,179,196165,124,0,8,35.0764,-90.0872,09/2009/18,35.1,44,1,35.75819215
180,180,180,196166,1,0,8,35.7,-88.13,09/2009/18,36.6,12.6,1,26.26228488
181,181,181,196172,61,0,8,34.9062,-88.5062,09/2009/18,43.8,34.9,1,29.74795415
182,182,182,208687,5,0,8,34.2187,-88.1474,12/2009/8,4.6,28,1,26.08036207
183,183,183,172663,8,0,8,37.0809,-95.6889,05/2009/8,0,1.6,1,28.88365804
184,184,184,196802,14,0,8,34.679,-88.55,09/2009/20,80.1,22.5,1,27.06867633
185,185,185,197322,4,0,8,35.3313,-86.5302,09/2009/20,58.6,30.9,1,30.06959047
186,186,186,197341,28,0,8,34.6724,-87.3146,09/2009/25,6.5,10.2,1,16.05126765
187,187,187,207429,29,0,8,35.3907,-82.4234,12/2009/25,2.1,69.3,1,21.92765022
188,188,188,198919,8,0,8,36.2589,-91.0032,10/2009/9,8.5,46.1,1,47.76163488
189,189,189,199090,98,0,8,34.27,-88.72,10/2009/13,18.7,24.3,1,26.98552263
190,190,190,199092,4,0,8,34.3658,-89,10/2009/13,5.7,26.9,1,53.95110742
191,191,191,196803,5,0,8,35.1234,-90.77,09/2009/21,11.7,4.3,1,45.37993203
192,192,192,196805,238,0,8,35.8166,-90.7068,09/2009/21,8.9,3.9,1,32.62669094
193,193,193,196854,7,0,8,33.7425,-88.3248,09/2009/23,16,71.6,1,20.60143389
194,194,194,196855,7,0,8,34.9832,-88.9779,09/2009/23,13.3,42,1,67.20050388
195,195,195,196856,2,0,8,33.7481,-90.2015,09/2009/23,3.4,19.6,1,40.67386191
196,196,196,196925,3,0,8,33.899,-89.18,09/2009/24,66.1,19.4,1,55.16837866
197,197,197,207602,1,0,1,33.8786,-116.5602,12/2009/13,5.9,6.5,1,27.56568337
198,198,198,202341,8,0,8,36.93,-90.75,12/2009/24,9.2,89.5,1,23.04448092
199,199,199,202355,41,0,8,36.6,-89.53,12/2009/24,11,84.1,1,29.55431121
200,200,200,161775,22,0,8,39.47,-92.22,03/2009/24,15.4,50.5,1,35.72690958
201,201,201,157247,7,0,1,40.1878,-87.4263,03/2009/9,67.4,0.3,1,60.31727805
202,202,202,156281,5,0,2,38.9967,-87.5939,02/2009/11,6.3,52.2,1,7.944615653
203,203,203,161516,964,0,7,42.9998,-78.1939,03/2009/8,11.5,24.4,1,36.45780771
204,204,204,145886,2,0,8,37.87,-83.92,01/2009/28,65.7,56.9,1,43.63969807
205,205,205,157252,15,0,1,39.7377,-87.3858,03/2009/11,43.5,4.3,1,27.27224806
206,206,206,156282,207,0,8,38.6979,-87.5155,02/2009/14,0,0.1,1,38.57346661
207,207,207,156283,10,0,8,38.6955,-87.526,02/2009/13,0,0,1,38.830051
208,208,208,156284,1,0,8,38.3803,-87.7821,02/2009/13,0,0,1,2.477920545
209,209,209,161517,68,0,7,43.0991,-78.6474,03/2009/10,11.4,7.2,1,30.74313866
